,Name,Image,Ratings,RAM,Display,Processor,Battery,Warranty,Camera
12,"vivo T1 5G (Rainbow Fantasy, 128 GB)",https://rukminim2.flixcart.com/image/312/312/kzd147k0/mobile/m/c/f/-original-imagbe5qknarjywp.jpeg?q=70,"33,444 Ratings & 3,183 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,Qualcomm Snapdragon 695 Processor,5000 mAh Lithium Battery,,50MP + 2MP + 2MP | 16MP Front Camera
13,"Infinix Note 11 (Graphite Black, 64 GB)",https://rukminim2.flixcart.com/image/312/312/kx25ksw0/mobile/4/v/5/-original-imag9hgmbb5rntyg.jpeg?q=70,"16,982 Ratings & 2,288 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,Mediatek Helio G88 Processor,5000 mAh Li-ion Polymer Battery,,50 MP + 2 MP + AI Lens | 16MP Front Camera
14,"POCO C31 (Shadow Gray, 32 GB)",https://rukminim2.flixcart.com/image/312/312/ku4ezrk0/mobile/b/o/m/c31-mzb0a0min-poco-original-imag7bzqxekkpkrv.jpeg?q=70,"39,228 Ratings & 2,277 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Lithium-ion Polymer Battery,"1 Year Warranty for Handset, 6 Months for Accessories",13MP + 2MP + 2MP | 5MP Front Camera
15,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/kqqykcw0/mobile/j/5/7/galaxy-f22-sm-e225flbdins-samsung-original-imag4z99fp4qdfby.jpeg?q=70,"34,370 Ratings & 3,121 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) HD+ Display,MediaTek Helio G80 Processor,6000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,48MP + 8MP + 2MP + 2MP | 13MP Front Camera
16,"REDMI 10 (Caribbean Green, 64 GB)",https://rukminim2.flixcart.com/image/312/312/l0tweq80/mobile/d/d/s/-original-imagcgtgyqebxqhx.jpeg?q=70,"8,000 Ratings & 482 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,Qualcomm Snapdragon 680 Processor,6000 mAh Lithium Polymer Battery,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,50MP + 2MP | 5MP Front Camera
17,"REDMI Note 10T 5G (Chromium White, 64 GB)",https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/o/q/q/-original-imagcaaw5zg6amp5.jpeg?q=70,"4,740 Ratings & 224 Reviews",4 GB RAM | 64 GB ROM,16.66 cm (6.56 inch) Full HD+ Display,Mediatek Dimensity 700 Processor,5000 mAh Lithium Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,48MP Primary Camera + 2MP Macro Lens + 2MP Depth Sensor | 8MP Front Camera
18,"realme C35 (Glowing Black, 64 GB)",https://rukminim2.flixcart.com/image/312/312/l0fm07k0/mobile/1/k/g/-original-imagc7ukmgugpdfy.jpeg?q=70,"34,636 Ratings & 2,131 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,Unisoc Tiger T616 Processor,5000 mAh Lithium Polymer Battery,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,50MP + 2MP + 0.3MP | 8MP Front Camera
19,"realme C35 (Glowing Green, 64 GB)",https://rukminim2.flixcart.com/image/312/312/l0fm07k0/mobile/y/g/i/-original-imagc7ryyhrrcgxh.jpeg?q=70,"34,636 Ratings & 2,131 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,Unisoc Tiger T616 Processor,5000 mAh Lithium Polymer Battery,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,50MP + 2MP + 0.3MP | 8MP Front Camera
20,"REDMI Note 10T 5G (Mint Green, 64 GB)",https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/9/a/w/-original-imagcaaw5gzbdtxj.jpeg?q=70,"4,740 Ratings & 224 Reviews",4 GB RAM | 64 GB ROM,16.66 cm (6.56 inch) Full HD+ Display,Mediatek Dimensity 700 Processor,5000 mAh Lithium Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,48MP Primary Camera + 2MP Macro Lens + 2MP Depth Sensor | 8MP Front Camera
21,"REDMI 9i Sport (Metallic Blue, 64 GB)",https://rukminim2.flixcart.com/image/312/312/ku04o7k0/mobile/x/x/t/9i-sport-mzb0a10in-redmi-original-imag785rwf3q8sft.jpeg?q=70,"93,325 Ratings & 5,213 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Li-Polymer Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,13MP Rear Camera | 5MP Front Camera
22,"REDMI 10 (Midnight Black, 64 GB)",https://rukminim2.flixcart.com/image/312/312/l0tweq80/mobile/x/f/u/-original-imagcgtghym8theg.jpeg?q=70,"8,000 Ratings & 482 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,Qualcomm Snapdragon 680 Processor,6000 mAh Lithium Polymer Battery,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,50MP + 2MP | 5MP Front Camera
23,"vivo T1 5G (Rainbow Fantasy, 128 GB)",https://rukminim2.flixcart.com/image/312/312/kzd147k0/mobile/m/c/f/-original-imagbe5qknarjywp.jpeg?q=70,"17,665 Ratings & 1,638 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.71 cm (6.58 inch) Full HD+ Display,Qualcomm Snapdragon 695 Processor,5000 mAh Lithium Battery,,50MP + 2MP + 2MP | 16MP Front Camera
